insert into users (id, id_equipo, username, fullname, edad, pais) values (1, null, 'jdrewson0', 'Joane Drewson', 21, 'United States');
insert into users (id, id_equipo, username, fullname, edad, pais) values (28, null, 'tpassinghamr', 'Tannie Passingham', 22, 'Sweden');
insert into users (id, id_equipo, username, fullname, edad, pais) values (29, null, 'drentellls', 'Devinne Rentelll', 27, 'United States');
insert into users (id, id_equipo, username, fullname, edad, pais) values (30, 2, 'gmcgillacoellt', 'Grant McGillacoell', 27, 'Japan');
insert into users (id, id_equipo, username, fullname, edad, pais) values (31, 9, 'knettiu', 'Kelli Netti', 25, 'Sweden');
insert into users (id, id_equipo, username, fullname, edad, pais) values (32, null, 'kbeltonv', 'Kiri Belton', 30, 'United States');
insert into users (id, id_equipo, username, fullname, edad, pais) values (33, 6, 'onealew', 'Olly Neale', 33, 'Argentina');
insert into users (id, id_equipo, username, fullname, edad, pais) values (34, null, 'llarretx', 'Lorrie Larret', 31, 'Sweden');
insert into users (id, id_equipo, username, fullname, edad, pais) values (35, 5, 'sleighfieldy', 'Simone Leighfield', 37, 'Argentina');
insert into users (id, id_equipo, username, fullname, edad, pais) values (36, null, 'ctoez', 'Caz Toe', 27, 'Argentina');
insert into users (id, id_equipo, username, fullname, edad, pais) values (37, null, 'emabbutt10', 'Elaine Mabbutt', 35, 'Japan');
insert into users (id, id_equipo, username, fullname, edad, pais) values (38, 3, 'mpocke11', 'Marsh Pocke', 32, 'Mexico');
insert into users (id, id_equipo, username, fullname, edad, pais) values (39, 7, 'cpontefract12', 'Cleopatra Pontefract', 16, 'Argentina');
insert into users (id, id_equipo, username, fullname, edad, pais) values (40, 8, 'ssprull13', 'Stephani Sprull', 21, 'United States');
insert into users (id, id_equipo, username, fullname, edad, pais) values (41, 4, 'xmuckeen14', 'Xylia Muckeen', 35, 'United States');
insert into users (id, id_equipo, username, fullname, edad, pais) values (42, null, 'ayoakley15', 'Addie Yoakley', 27, 'Mexico');
insert into users (id, id_equipo, username, fullname, edad, pais) values (43, 7, 'otumbridge16', 'Orlan Tumbridge', 19, 'United States');
insert into users (id, id_equipo, username, fullname, edad, pais) values (44, 16, 'vgraftonherbert17', 'Vanessa Grafton-Herbert', 21, 'Sweden');
insert into users (id, id_equipo, username, fullname, edad, pais) values (45, 13, 'aandrejs18', 'Alfons Andrejs', 23, 'United States');
insert into users (id, id_equipo, username, fullname, edad, pais) values (46, 8, 'tesland19', 'Teddie Esland', 25, 'Sweden');
insert into users (id, id_equipo, username, fullname, edad, pais) values (47, null, 'fbelward1a', 'Finlay Belward', 16, 'Chile');
insert into users (id, id_equipo, username, fullname, edad, pais) values (48, null, 'nchancelier1b', 'Natala Chancelier', 17, 'United States');
insert into users (id, id_equipo, username, fullname, edad, pais) values (49, null, 'nmaccallester1c', 'Nananne MacCallester', 18, 'Argentina');
insert into users (id, id_equipo, username, fullname, edad, pais) values (50, null, 'mcumberlidge1d', 'Maxine Cumberlidge', 37, 'Mexico');
insert into users (id, id_equipo, username, fullname, edad, pais) values (51, 1, 'mvanyashkin1e', 'Maurita Vanyashkin', 12, 'Mexico');
insert into users (id, id_equipo, username, fullname, edad, pais) values (52, null, 'cyakushkev1f', 'Costanza Yakushkev', 26, 'United States');
insert into users (id, id_equipo, username, fullname, edad, pais) values (53, 6, 'sbreton1g', 'Shara Breton', 33, 'Mexico');
insert into users (id, id_equipo, username, fullname, edad, pais) values (54, null, 'dmorford1h', 'Debora Morford', 38, 'Sweden');
insert into users (id, id_equipo, username, fullname, edad, pais) values (55, 1, 'skegg1i', 'Selena Kegg', 38, 'Mexico');
insert into users (id, id_equipo, username, fullname, edad, pais) values (56, 8, 'mboman1j', 'Marcelo Boman', 26, 'United States');
insert into users (id, id_equipo, username, fullname, edad, pais) values (57, null, 'bcolbert1k', 'Berrie Colbert', 32, 'Argentina');
insert into users (id, id_equipo, username, fullname, edad, pais) values (58, 15, 'zdring1l', 'Zuzana Dring', 38, 'Sweden');
insert into users (id, id_equipo, username, fullname, edad, pais) values (59, 9, 'hhamon1m', 'Hildegaard Hamon', 38, 'Japan');
INSERT INTO users(username,fullname,edad,pais) VALUES('Vistorpete','Victor Sanchez', 21,'Chile');
INSERT INTO users(username,fullname,edad,pais) VALUES('PNerre','Nicolas Roman', 22,'Chile');
INSERT INTO users(username,fullname,edad,pais) VALUES('Furrini777','Ruffini Gorro', 21,'Chile');
INSERT INTO users(username,fullname,edad,pais) VALUES('LinoxKiller','Lino Cisternas', 93,'Chile');
INSERT INTO users(username,fullname,edad,pais) VALUES('Matriaxxxxxxx','Matias Gutierrez', 20,'Chile');
